Device,Test Name,Test Status,Message(s),Test description,Test category
c1-borderleaf1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:28 c1-borderleaf1 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1793) -- Master ProcMgr (PID=1793) exiting.
 Jul 16 00:22:28 c1-borderleaf1 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Stp (pid:3348) at tbl://stpListen/+n closed by peer (EOF)
 Jul 16 00:22:28 c1-borderleaf1 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpListen/+n-in)(Stp (pid:3348))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-borderleaf1,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-borderleaf2,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:22 c1-borderleaf2 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1790) -- Master ProcMgr (PID=1790) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-borderleaf2,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-leaf1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:24 c1-leaf1 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1803) -- Master ProcMgr (PID=1803) exiting.
 Jul 16 00:22:24 c1-leaf1 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Stp (pid:3316) at tbl://stpListen/+n closed by peer (EOF)
 Jul 16 00:22:24 c1-leaf1 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpListen/+n-in)(Stp (pid:3316))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-leaf1,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-leaf2,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:27 c1-leaf2 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1799) -- Master ProcMgr (PID=1799) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-leaf2,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-leaf3,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:30 c1-leaf3 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1803) -- Master ProcMgr (PID=1803) exiting.
 Jul 16 00:22:30 c1-leaf3 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Stp (pid:3291) at tbl://stpListen/+n closed by peer (EOF)
 Jul 16 00:22:30 c1-leaf3 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpListen/+n-in)(Stp (pid:3291))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-leaf3,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-leaf4,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:28 c1-leaf4 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1803) -- Master ProcMgr (PID=1803) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-leaf4,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-leaf5,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:28 c1-leaf5 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1800) -- Master ProcMgr (PID=1800) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-leaf5,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-leaf6,VerifyInterfacesStatus,failure,"Interface: Port-Channel10 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
c1-leaf6,VerifyPortChannels,failure,Interface: Port-Channel10 - Inactive port(s) - Ethernet10,Verifies there are no inactive ports in port channels.,Interfaces
c1-leaf6,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:32 c1-leaf6 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1805) -- Master ProcMgr (PID=1805) exiting.
 Jul 16 00:22:32 c1-leaf6 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Stp (pid:3349) at tbl://stpListen/+n closed by peer (EOF)
 Jul 16 00:22:32 c1-leaf6 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpListen/+n-in)(Stp (pid:3349))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-leaf6,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-spine1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:31 c1-spine1 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1805) -- Master ProcMgr (PID=1805) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-spine1,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
c1-spine2,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 16 00:22:36 c1-spine2 ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1807) -- Master ProcMgr (PID=1807) exiting.
 Jul 16 00:22:36 c1-spine2 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Stp (pid:3269) at tbl://stpListen/+n closed by peer (EOF)
 Jul 16 00:22:36 c1-spine2 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpListen/+n-in)(Stp (pid:3269))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
c1-spine2,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.,Verifies if NTP is synchronised.,System
